10
PI1[1], PI2[1], PI3[2], PI4[2], PI5, PI6[1], PI7[1], PI8[2], PI9[2], PI10, PI11[1], PI12[1], PI13[2], PI14[2], PI15, PI16[1], PI17[1], PI18[2], PI19[2], PI20, PI21[1], PI22[1], PI23[2], PI24[2], PI25, Custo
HB, LB, HB, HB, NB, HB, LB, HB, HB, NB, HB, LB, HB, HB, NB, HB, LB, HB, HB, NB, HB, LB, HB, HB, NB, LB
10	20	8	18	15	20	30	45	15	40
2.50	4.80	5.00	7.10	8.50	10.00	1.25	1.00	0.50	5.60
2	4	1	8	16	16	32	64	4	8
100	150	50	200	80	300	200	120	250	500
1	2	3	4	2	2	2	3	4	4
10	20	8	18	15	20	30	45	15	40
2.50	4.80	5.00	7.10	8.50	10.00	1.25	1.00	0.50	5.60
2	4	1	8	16	16	32	64	4	8
100	150	50	200	80	300	200	120	250	500
1	2	3	4	2	2	2	3	4	4
10	20	8	18	15	20	30	45	15	40
2.50	4.80	5.00	7.10	8.50	10.00	1.25	1.00	0.50	5.60
2	4	1	8	16	16	32	64	4	8
100	150	50	200	80	300	200	120	250	500
1	2	3	4	2	2	2	3	4	4
10	20	8	18	15	20	30	45	15	40
2.50	4.80	5.00	7.10	8.50	10.00	1.25	1.00	0.50	5.60
2	4	1	8	16	16	32	64	4	8
100	150	50	200	80	300	200	120	250	500
1	2	3	4	2	2	2	3	4	4
10	20	8	18	15	20	30	45	15	40
2.50	4.80	5.00	7.10	8.50	10.00	1.25	1.00	0.50	5.60
2	4	1	8	16	16	32	64	4	8
100	150	50	200	80	300	200	120	250	500
1	2	3	4	2	2	2	3	4	4
0.50	0.70	0.2	1.50	1.20	1.88	2.30	2.55	2.80	3.00
