100	2	2
DMU	Recursos	Custo	Adequacao	Sobras
p1	1.0	0.111	0.0	0.0
p2	0.25	0.167	0.563	0.0
p3	1.0	0.278	0.0	0.0
p4	1.0	0.333	0.0	0.0
p5	0.25	0.389	0.563	0.0
p6	1.0	0.556	0.0	0.0
p7	0.25	0.5	0.563	0.0
p8	0.0	0.333	1.0	0.0
p9	0.25	0.667	0.563	0.0
p10	1.0	1.0	0.0	0.0
p11	1.0	0.111	0.0	0.0
p12	0.25	0.167	0.563	0.0
p13	1.0	0.278	0.0	0.0
p14	1.0	0.333	0.0	0.0
p15	0.25	0.389	0.563	0.0
p16	1.0	0.556	0.0	0.0
p17	0.25	0.5	0.563	0.0
p18	0.0	0.444	1.0	0.0
p19	0.25	0.667	0.563	0.0
p20	1.0	1.0	0.0	0.0
p21	1.0	0.111	0.0	0.0
p22	0.25	0.167	0.563	0.0
p23	1.0	0.278	0.0	0.0
p24	1.0	0.333	0.0	0.0
p25	0.25	0.389	0.563	0.0
p26	1.0	0.556	0.0	0.0
p27	0.25	0.5	0.563	0.0
p28	0.0	0.444	1.0	0.0
p29	0.25	0.667	0.563	0.0
p30	1.0	1.0	0.0	0.0
p31	1.0	0.111	0.0	0.0
p32	0.25	0.167	0.563	0.0
p33	1.0	0.278	0.0	0.0
p34	1.0	0.333	0.0	0.0
p35	0.25	0.389	0.563	0.0
p36	1.0	0.556	0.0	0.0
p37	0.25	0.5	0.563	0.0
p38	0.0	0.444	1.0	0.0
p39	0.25	0.667	0.563	0.0
p40	1.0	1.0	0.0	0.0
p41	1.0	0.111	0.0	0.0
p42	0.25	0.167	0.563	0.0
p43	1.0	0.278	0.0	0.0
p44	1.0	0.333	0.0	0.0
p45	0.25	0.389	0.563	0.0
p46	1.0	0.556	0.0	0.0
p47	0.25	0.5	0.563	0.0
p48	0.0	0.444	1.0	0.0
p49	0.25	0.667	0.563	0.0
p50	1.0	1.0	0.0	0.0
p51	1.0	0.111	0.0	0.0
p52	0.25	0.167	0.563	0.0
p53	1.0	0.278	0.0	0.0
p54	1.0	0.333	0.0	0.0
p55	0.25	0.389	0.563	0.0
p56	1.0	0.556	0.0	0.0
p57	0.25	0.5	0.563	0.0
p58	0.0	0.444	1.0	0.0
p59	0.25	0.667	0.563	0.0
p60	1.0	1.0	0.0	0.0
p61	1.0	0.111	0.0	0.0
p62	0.25	0.167	0.563	0.0
p63	1.0	0.278	0.0	0.0
p64	1.0	0.333	0.0	0.0
p65	0.25	0.389	0.563	0.0
p66	1.0	0.556	0.0	0.0
p67	0.25	0.5	0.563	0.0
p68	0.0	0.444	1.0	0.0
p69	0.25	0.667	0.563	0.0
p70	1.0	1.0	0.0	0.0
p71	1.0	0.111	0.0	0.0
p72	0.25	0.167	0.563	0.0
p73	1.0	0.278	0.0	0.0
p74	1.0	0.333	0.0	0.0
p75	0.25	0.389	0.563	0.0
p76	1.0	0.556	0.0	0.0
p77	0.25	0.5	0.563	0.0
p78	0.0	0.444	1.0	0.0
p79	0.25	0.667	0.563	0.0
p80	1.0	1.0	0.0	0.0
p81	1.0	0.111	0.0	0.0
p82	0.25	0.167	0.563	0.0
p83	1.0	0.278	0.0	0.0
p84	1.0	0.333	0.0	0.0
p85	0.25	0.389	0.563	0.0
p86	1.0	0.556	0.0	0.0
p87	0.25	0.5	0.563	0.0
p88	0.0	0.444	1.0	0.0
p89	0.25	0.667	0.563	0.0
p90	1.0	1.0	0.0	0.0
p91	1.0	0.111	0.0	0.0
p92	0.25	0.167	0.563	0.0
p93	1.0	0.278	0.0	0.0
p94	1.0	0.333	0.0	0.0
p95	0.25	0.389	0.563	0.0
p96	1.0	0.556	0.0	0.0
p97	0.25	0.5	0.563	0.0
p98	0.0	0.444	1.0	0.0
p99	0.25	0.667	0.563	0.0
p100	1.0	1.0	0.0	0.0
